ID,sw-1,sw-2,sw-3,sw-4,sw-5,Unnamed: 6,Unnamed: 7
2,00:05:00,02:00:00,14:30:00,16:30:00,,,
3,,,,,,,
4,00:10:00,01:40:00,14:20:00,16:40:00,,,
5,00:05:00,01:11:00,12:45:00,14:56:00,,,
6,00:05:00,01:50:00,13:24:00,15:40:00,,,
7,00:05:00,01:35:00,13:20:00,15:50:00,,,
8,-,-,-,-,,,
9,01:20:00,02:50:00,14:02:00,15:55:00,,,
10,00:11:00,--,02:45:00,16:35:00,17:35:00,*,* try to do if not number then go to the sw-4
11,00:10:00,02:41:00,--,15:00:00,16:00:00,*,
12,00:05:00,02:50:00,--,15:30:00,16:30:00,*,
13,00:05:00,01:50:00,--,13:40:00,14:40:00,*,
14,-,-,-,-,,,
15,00:05:00,01:30:00,--,12:55:00,13:55:00,*,
16,00:05:00,02:00:00,--,13:05:00,14:05:00,*,
17,00:05:00,01:20:00,--,12:40:00,13:40:00,*,
18,00:05:00,02:50:00,--,13:40:00,14:40:00,*,
19,00:05:00,01:40:00,--,13:30:00,14:30:00,*,
20,00:25:00,--,02:12:00,13:21:00,14:21:00,*,
21,-,-,-,-,,,
22,00:05:00,--,new recording --,01:00:00,02:00:00,03:00:00,* weird recording
23,,,,,,,
24,00:05:00,02:20:00,--,14:30:00,15:30:00,,
25,00:05:00,01:35:00,--,13:40:00,14:40:00,,
